Paper_Quality,Presentation_Skills,PPT_Design,Content_Clarity,Technical_Depth,QA_Handling,Time_Management,Confidence_Level,Category
6,4,5,10,2,7,4,2,Medium
5,4,2,3,6,8,8,5,Medium
8,1,5,2,1,3,7,1,Low
2,6,1,5,6,7,2,1,Low
2,2,9,8,1,4,1,1,Low
2,3,10,1,2,7,10,2,Low
10,8,10,6,6,7,7,2,High
4,5,7,1,3,3,2,8,Medium
9,7,7,10,8,8,9,2,High
7,6,3,7,1,9,4,6,Medium
9,6,1,5,9,5,6,3,Medium
7,2,10,9,6,2,2,3,Medium
7,7,2,8,10,10,9,6,High
8,8,10,4,9,10,4,8,High
5,10,3,8,8,4,8,5,Medium
1,6,8,1,9,3,1,1,Low
5,5,9,8,8,5,8,10,High
3,1,6,1,9,1,6,1,Low
3,4,2,2,1,5,4,10,Low
3,5,10,1,3,3,5,3,Low
9,10,10,8,6,5,3,4,High
8,10,9,1,1,10,2,6,Medium
8,1,1,5,5,1,6,1,Low
4,2,3,9,2,4,1,2,Low
9,3,2,8,6,8,7,3,Medium
4,4,5,1,1,2,8,7,Low
7,9,8,10,3,9,1,6,High
10,9,8,3,1,4,8,3,Medium
10,6,5,3,10,8,8,7,High
1,6,4,3,6,2,8,1,Low
4,7,1,9,10,9,7,8,High
5,2,4,2,5,10,2,10,Medium
5,3,2,3,9,8,3,2,Medium
2,2,1,8,3,3,6,8,Low
3,9,6,10,4,10,3,2,Medium
4,3,1,1,5,6,3,9,Low
10,6,9,8,10,3,6,7,High
3,5,6,3,4,5,3,4,Medium
1,6,3,1,4,1,1,2,Low
6,7,10,9,8,6,4,10,High
5,2,3,4,5,3,7,5,Low
9,7,4,3,10,4,3,3,Medium
5,8,10,8,3,2,9,3,Medium
6,8,6,6,7,10,4,8,High
2,1,8,3,1,1,2,6,Low
7,9,9,10,6,8,9,3,High
6,10,7,9,7,9,10,9,High
9,8,7,9,5,5,9,5,High
1,2,7,1,1,1,8,4,Low
4,1,7,5,8,9,5,8,Medium
5,1,1,3,6,1,2,7,Low
1,1,5,2,4,1,4,6,Low
7,1,9,2,4,9,4,3,Low
9,3,2,1,3,5,2,3,Low
4,6,5,2,10,2,9,10,Medium
1,5,1,7,5,2,1,7,Medium
7,4,6,9,5,8,5,2,Medium
10,10,8,3,10,9,3,4,High
2,2,3,2,4,2,10,9,Low
2,1,8,5,10,1,9,8,Medium
4,7,5,5,1,2,5,3,Low
9,6,6,10,9,2,10,9,High
10,7,10,8,8,2,9,4,High
1,5,3,5,4,2,4,3,Low
5,10,9,6,8,9,4,7,High
1,2,2,8,1,4,10,5,Low
2,8,7,7,5,10,8,2,Medium
10,2,3,1,6,6,1,3,Low
1,7,3,6,5,5,5,1,Low
6,6,1,5,9,4,3,1,Medium
10,10,10,10,8,7,2,1,High
4,9,1,1,7,3,10,2,Low
6,10,6,10,10,6,9,10,High
9,7,8,9,3,10,2,6,High
6,2,1,5,8,10,10,2,Medium
10,5,4,9,9,1,7,10,High
4,10,10,8,10,9,8,10,High
7,1,4,9,10,6,2,4,Medium
3,7,6,2,6,2,2,2,Low
3,2,6,4,6,2,4,6,Low
3,10,3,3,1,10,1,6,Low
1,10,8,6,3,3,6,7,Medium
